Cancer site,Sex,Stage 1,Stage 2,Stage 3,Stage 4
Bladder,Male,96.5,73.4,69.8,39.6
Bladder,Female,91.0,63.0,49.2,27.1
,,,,,
Breast,Female,99.8,98.8,96.2,63.0
,,,,,
Colorectal,Male,97.1,92.9,89.4,41.5
Colorectal,Female,97.4,91.8,84.7,38.7
,,,,,
Kidney,Male,93.3,92.0,90.5,36.7
Kidney,Female,95.0,95.4,85.6,29.9
,,,,,
Lung,Male,80.8,66.2,42.1,14.5
Lung,Female,83.7,70.2,44.7,18.8
,,,,,
Melanoma,Male,100.5,97.5,93.2,48.9
Melanoma,Female,100.3,97.8,95.7,40.6
,,,,,
Ovary,Female,97.3,88.0,67.2,49.3
,,,,,
Prostate,Male,100.9,100.3,100.4,81.9
,,,,,
Uterus,Female,99.5,94.5,79.5,47.2
,,,,,
,,,,,
,,,,,
